GEOID,VALUE_0,VALUE_11,VALUE_12,VALUE_21,VALUE_22,VALUE_23,VALUE_24,VALUE_31,VALUE_41,VALUE_42,VALUE_43,VALUE_52,VALUE_71,VALUE_81,VALUE_82,VALUE_90,VALUE_95
01023,0,14043600,0,64184400,6094800,1865700,592200,2819700,88063200,822661184,532456192,163413904,191315696,72441000,3664800,368351104,16602300
13061,0,54287100,0,16209900,3166200,441900,46800,201600,22100400,176931008,70901104,27049500,27111600,3699900,135059392,38141100,1164600
18091,0,15588000,0,61516800,66025800,24655500,9148500,2472300,181888192,5214600,9634500,10008900,43954200,63419400,948122112,121458600,17850600
18171,0,3573900,0,24756300,16650900,984600,453600,651600,128645104,73800,6827400,259200,2987100,43245000,699145216,6181200,1150200
26029,0,362680192,0,48710700,25494300,6851700,1575000,13846500,399881696,28592100,70797600,8699400,89307904,30939300,92774704,233659808,10324800
31181,0,5751900,0,44358300,8703000,637200,197100,295200,27930600,0,151200,4329900,638548224,3042900,740869184,13961700,1961100
39087,0,10429200,0,53154900,30514500,12564000,2762100,922500,877240832,7904700,38078100,9564300,5382000,107486096,7070400,1876500,190800
51099,0,23573700,0,25437600,6642900,2608200,825300,1289700,102498304,16093800,125142304,8396100,2364300,29008800,41634900,38312100,3025800
05037,0,22722300,0,49344300,11571300,3227400,992700,1888200,21980700,1739700,136327504,2549700,1391400,33141600,1209906944,119084400,8295300
12095,0,253639808,0,376875904,332913600,196392608,67198496,12588300,1313100,162468896,25952400,47978100,29653200,283003200,20145600,665878528,153974704
17143,0,38804400,0,69714000,97327800,56313900,17766900,1949400,279839712,247500,96578096,584100,3569400,108248400,833255104,20925000,7621200
18105,0,45647100,0,68141696,25823700,13680000,4119300,6875100,634792512,2004300,49605300,1301400,20452500,136847696,49466700,2037600,790200
20061,0,54740700,0,31995000,25335000,8689500,2890800,262800,125361904,3204900,2501100,1477800,538546496,18853200,179043296,4304700,2312100
28141,0,55828800,0,45863100,18727200,5150700,1879200,2232000,320440512,180557104,137277904,107383504,40237200,123398096,23588100,80460896,5583600
31059,0,3278700,0,53299800,10701900,2421900,830700,486900,16373700,0,90000,5400,95139000,2077200,1289894400,991800,17757000
42025,0,17672400,0,65838600,20485800,8736300,2381400,9272700,526369504,53976600,182648704,5882400,5955300,50115600,31968000,12912300,672300
48461,0,1118700,0,92799000,13155300,2786400,799200,3515400,37800,10800,0,2873246464,82245600,0,107224200,15804900,5606100
48145,0,14200200,0,74107800,9267300,4066200,798300,1170900,96277504,34506900,18222300,12370500,344005184,505620000,826932608,59832900,5761800
48307,0,11781000,0,54572400,8044200,2187000,888300,1063800,59510700,173715296,4855500,1988070272,107706600,9576000,294843584,396000,135900
55025,0,101130304,0,167380192,199153792,86238000,28837800,6264000,357883200,6775200,96068704,7314300,4077000,431904608,1490169600,61458300,147474000
55049,0,15612300,0,65347200,22227300,3827700,740700,994500,561590976,7496100,63171900,5856300,5606100,600749120,575396096,41128200,22133700
47043,0,3126600,0,73069200,12927600,5962500,2927700,384300,721672192,9841500,109188896,7227000,13264200,311227200,9910800,1452600,1161000
26037,0,13060800,0,71595000,48956400,14757300,4898700,2466900,116046896,2713500,13196700,229500,1452600,95614200,915345920,177922800,10304100
19047,0,5220900,0,66212100,17396100,4184100,1235700,487800,32744700,120600,777600,1029600,25284600,139689904,1556014464,612900,2635200
20011,0,13478400,0,55281600,17737200,3456000,912600,1324800,250474496,102600,48851100,2540700,8363700,1034948672,214238704,1143000,418500
20051,0,6005700,0,58604400,38216700,11902500,3383100,982800,11543400,0,88200,2680200,1235699968,13343400,934530304,10557900,2350800
12049,0,29739600,0,45372600,10793700,2851200,946800,34917300,875700,23256900,7065900,34221600,27333000,685356288,243230400,452216704,54451800
40059,0,5318100,0,63736200,7563600,1928700,384300,2101500,153000,11802600,349200,15451200,2076839040,9784800,483101088,3297600,4186800
44001,0,44780400,0,9310500,13552200,14554800,3132900,372600,4212900,296100,3719700,259200,1767600,1878300,72900,4643100,4367700
08081,0,40778100,0,66664800,16656300,3957300,677700,50072400,604269888,1460276096,38500200,8849227776,980337600,72774000,86435104,21951900,12414600
26103,0,201051008,0,117999904,39996000,20829600,8865900,61484400,1043655296,327192288,1184058880,158907600,137106000,33129000,15510600,1498623360,46674000
39003,0,10924200,0,91057504,62647200,20732400,12604500,623700,83718000,663300,766800,105300,7374600,33129000,728422208,3106800,2671200
21019,0,5616900,0,32897700,29948400,16630200,5472000,1087200,252990000,1630800,16298100,2764800,2817900,47470500,459900,104400,4500
51093,0,119417400,0,40878900,12146400,4860900,1417500,805500,26429400,146529904,93997800,24256800,10785600,4763700,247289408,158636704,20218500
21037,0,15086700,0,34706700,22121100,12373200,4384800,283500,135727200,18259200,66685500,862200,3155400,88442096,1357200,732600,93600
12107,0,228542400,0,199814400,40665600,9396900,2700900,8043300,21175200,753170432,14416200,142875008,67575600,146681104,27427500,453003296,34456500
13133,0,52668000,0,49401900,10615500,2452500,484200,3603600,156383104,412448384,111501000,27099900,57897900,109460704,2320200,36298800,745200
35019,0,13421700,0,30060000,8019900,1808100,414000,952200,981900,44118900,0,7240848384,491118304,232200,8013600,5355900,13936500
18181,0,10656000,0,38206800,35759700,5681700,2575800,1869300,59046300,247500,6441300,36000,2304900,18143100,1132096512,7326000,1291500
19123,0,13782600,0,42487200,33665400,7815600,1750500,1440900,79253104,415800,24006600,1708200,33618600,237722400,967250688,28381500,11808000
19035,0,5402700,0,56407500,11136600,3771000,765000,1040400,4495500,2925000,30809700,848700,22913100,111400200,1230983040,5328000,5850900
21157,0,92669400,0,54811800,10122300,3565800,2619900,2513700,253935008,4144500,77854496,2686500,4568400,155218496,138608992,64203300,4558500
18085,0,47178000,0,81594896,37026900,11655000,6108300,2146500,124020896,2824200,3141900,975600,2359800,79883104,929453376,68190304,19804500
39059,0,18448200,0,79735504,21102300,6943500,2435400,998100,715696192,6693300,127581296,7317000,9066600,322827296,20041200,9158400,6660000
47049,0,2682900,0,41734800,15636600,3736800,890100,6579000,699708608,21816000,245708096,26796600,44392500,182533504,2560500,144900,54900
47007,0,2716200,0,37740600,7907400,1987200,414000,1009800,498093312,77705104,73597504,27888300,36170100,257544000,11585700,1614600,178200
48247,0,194400,0,24115500,7624800,1539000,191700,4405500,215100,2647800,1630800,959824768,1856952960,90911696,900,1915200,205200
55027,0,90018000,0,64269000,74584800,20065500,5927400,4545900,83424600,3246300,8667000,342900,1490400,207743392,1361314816,99299696,313662592
55011,0,70363800,0,52040700,12560400,2321100,653400,2276100,727784128,8893800,61281000,8661600,3550500,143212496,581903104,110584800,43825500
48353,0,3068100,0,50452200,24281100,9857700,2930400,1468800,33219900,73539000,9537300,1551136512,263653200,478800,336825888,5277600,626400
01053,0,14572800,0,81389696,26692200,6480000,1984500,12349800,25312500,978780608,115234200,223697696,139535104,115131600,223484400,477358208,20455200
55015,0,201659392,0,30951000,34389900,11203200,2726100,1905300,28212300,169200,7268400,648000,614700,48441600,550369792,73958400,36508500
27105,0,21158100,0,69041696,17708400,8154000,2037600,1201500,3838500,0,5290200,217800,43772400,22660200,1642783488,152100,33597000
27153,0,90536400,0,83486704,17704800,5247000,979200,924300,473184896,7101000,22427100,10384200,29434500,370759488,887157888,148866304,378177312
29039,0,58519800,0,45534600,7122600,1651500,593100,3702600,508731296,10688400,21207600,4896000,11596500,575303424,44780400,6750900,221400
37093,0,5588100,0,69208200,27130500,5208300,990000,35323200,24306300,362603712,6312600,50523300,35696700,4821300,193599008,209731504,3813300
